date,city_name,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,aqi_category
2025-06-27,Agra,130.9,141.2,136.3,133.2,158.3,Unhealthy
2025-06-28,Agra,102.1,102.9,105.1,93.5,117.2,Unhealthy for Sensitive Groups
2025-06-29,Agra,100.8,112.2,88.1,111.5,107.2,Unhealthy for Sensitive Groups
2025-06-30,Agra,130.2,133.6,123.1,148.9,159.0,Unhealthy
2025-07-01,Agra,138.7,119.4,123.3,149.2,149.8,Unhealthy for Sensitive Groups
2025-07-02,Agra,140.4,145.5,138.5,164.0,157.5,Unhealthy
2025-07-03,Agra,139.0,140.1,131.0,153.4,153.9,Unhealthy
2025-07-04,Agra,118.4,143.1,128.9,154.2,151.5,Unhealthy
2025-07-05,Agra,108.0,87.9,92.9,107.1,126.2,Unhealthy for Sensitive Groups
2025-07-06,Agra,93.6,105.7,99.0,104.5,101.3,Unhealthy for Sensitive Groups
2025-07-07,Agra,144.1,136.4,146.0,157.1,158.2,Unhealthy
2025-07-08,Agra,140.8,139.7,126.2,148.5,143.0,Unhealthy for Sensitive Groups
2025-07-09,Agra,130.8,143.0,129.4,152.7,158.7,Unhealthy
2025-07-10,Agra,135.9,128.1,119.6,132.9,152.1,Unhealthy
2025-07-11,Agra,141.4,142.9,143.7,139.7,142.3,Unhealthy for Sensitive Groups
2025-07-12,Agra,95.7,104.7,85.2,83.9,109.1,Unhealthy for Sensitive Groups
2025-07-13,Agra,122.7,108.2,105.3,116.0,119.3,Unhealthy for Sensitive Groups
2025-07-14,Agra,137.7,132.7,122.2,163.0,156.4,Unhealthy
2025-07-15,Agra,142.3,139.8,136.5,154.4,170.6,Unhealthy
2025-07-16,Agra,128.5,137.3,136.6,139.8,158.6,Unhealthy
2025-07-17,Agra,124.2,137.3,127.9,151.1,175.2,Unhealthy
2025-07-18,Agra,114.9,127.2,119.6,123.4,147.3,Unhealthy for Sensitive Groups
2025-07-19,Agra,96.9,116.4,103.3,104.5,102.4,Unhealthy for Sensitive Groups
2025-07-20,Agra,92.5,97.5,84.9,101.7,98.7,Moderate
2025-07-21,Agra,145.9,142.2,132.8,152.9,155.9,Unhealthy
2025-07-22,Agra,142.5,117.1,113.3,133.7,140.6,Unhealthy for Sensitive Groups
2025-07-23,Agra,123.7,116.3,113.0,123.9,154.0,Unhealthy
2025-07-24,Agra,121.7,117.0,114.0,128.7,128.6,Unhealthy for Sensitive Groups
2025-07-25,Agra,129.6,136.5,134.5,136.9,159.8,Unhealthy
2025-07-26,Agra,98.8,89.3,91.7,102.9,119.6,Unhealthy for Sensitive Groups
2025-07-27,Agra,87.4,103.4,89.8,105.8,97.5,Moderate
2025-07-28,Agra,119.2,127.4,134.1,125.5,152.7,Unhealthy
2025-07-29,Agra,117.6,117.3,136.5,141.0,145.2,Unhealthy for Sensitive Groups
2025-07-30,Agra,144.6,142.8,130.9,160.2,174.7,Unhealthy
2025-07-31,Agra,129.1,130.6,119.2,135.2,144.4,Unhealthy for Sensitive Groups
2025-08-01,Agra,109.8,131.2,132.7,138.4,134.9,Unhealthy for Sensitive Groups
2025-08-02,Agra,94.9,96.7,95.3,112.3,112.2,Unhealthy for Sensitive Groups
2025-08-03,Agra,93.1,104.4,94.3,83.4,104.5,Unhealthy for Sensitive Groups
2025-08-04,Agra,134.6,133.9,119.1,137.4,140.3,Unhealthy for Sensitive Groups
2025-08-05,Agra,140.4,128.3,147.2,145.6,156.0,Unhealthy
2025-08-06,Agra,124.4,123.7,120.3,154.4,139.4,Unhealthy for Sensitive Groups
2025-08-07,Agra,123.5,133.2,123.7,134.5,160.4,Unhealthy
2025-08-08,Agra,128.4,139.5,120.9,145.1,154.9,Unhealthy
2025-08-09,Agra,83.2,109.0,83.9,102.8,118.6,Unhealthy for Sensitive Groups
2025-08-10,Agra,106.4,114.2,110.2,121.5,124.1,Unhealthy for Sensitive Groups
2025-08-11,Agra,112.6,128.6,126.2,135.9,145.0,Unhealthy for Sensitive Groups
2025-08-12,Agra,141.2,148.3,143.5,155.5,162.9,Unhealthy
2025-08-13,Agra,115.3,134.8,114.5,147.1,141.1,Unhealthy for Sensitive Groups
2025-08-14,Agra,126.7,142.0,123.4,145.0,130.6,Unhealthy for Sensitive Groups
2025-08-15,Agra,130.5,150.9,141.5,153.2,170.5,Unhealthy
2025-08-16,Agra,93.8,120.7,93.3,103.9,124.9,Unhealthy for Sensitive Groups
2025-08-17,Agra,92.8,109.4,94.1,101.4,104.6,Unhealthy for Sensitive Groups
2025-08-18,Agra,115.7,128.3,121.6,146.8,132.3,Unhealthy for Sensitive Groups
2025-08-19,Agra,121.9,121.8,136.1,128.5,150.1,Unhealthy
2025-08-20,Agra,142.8,131.3,123.1,137.2,144.4,Unhealthy for Sensitive Groups
2025-08-21,Agra,134.1,142.1,131.0,140.4,163.7,Unhealthy
2025-08-22,Agra,129.2,122.2,122.4,133.7,125.6,Unhealthy for Sensitive Groups
2025-08-23,Agra,96.5,108.2,97.1,116.4,121.6,Unhealthy for Sensitive Groups
2025-08-24,Agra,109.9,104.7,93.1,99.6,109.9,Unhealthy for Sensitive Groups
2025-08-25,Agra,130.1,141.9,137.3,139.7,125.9,Unhealthy for Sensitive Groups
2025-08-26,Agra,126.4,134.6,136.5,150.0,167.0,Unhealthy
2025-08-27,Agra,126.2,131.9,127.4,138.7,145.2,Unhealthy for Sensitive Groups
2025-08-28,Agra,144.6,153.2,143.6,162.6,164.2,Unhealthy
2025-08-29,Agra,118.8,120.1,113.0,136.2,142.0,Unhealthy for Sensitive Groups
2025-08-30,Agra,103.9,106.6,98.3,98.8,121.4,Unhealthy for Sensitive Groups
2025-08-31,Agra,114.6,109.4,102.4,109.3,122.5,Unhealthy for Sensitive Groups
2025-09-01,Agra,158.3,169.1,154.6,168.1,181.6,Unhealthy
2025-09-02,Agra,153.9,164.4,139.0,178.1,174.4,Unhealthy
2025-09-03,Agra,176.2,178.1,172.8,203.2,199.1,Unhealthy
2025-09-04,Agra,156.5,172.9,155.2,182.4,198.1,Unhealthy
2025-09-05,Agra,161.3,162.2,145.4,157.1,182.8,Unhealthy
2025-09-06,Agra,135.7,134.2,132.5,154.5,146.2,Unhealthy for Sensitive Groups
2025-09-07,Agra,132.6,124.9,118.5,128.9,140.1,Unhealthy for Sensitive Groups
2025-09-08,Agra,154.3,158.3,156.0,164.4,179.4,Unhealthy
2025-09-09,Agra,152.6,161.8,151.6,170.8,177.9,Unhealthy
2025-09-10,Agra,164.6,181.2,175.5,190.6,186.8,Unhealthy
2025-09-11,Agra,150.5,151.9,159.4,163.7,159.8,Unhealthy
2025-09-12,Agra,137.1,159.4,139.9,169.9,167.3,Unhealthy
2025-09-13,Agra,115.1,116.5,94.4,112.6,137.7,Unhealthy for Sensitive Groups
2025-09-14,Agra,133.7,140.0,126.9,137.8,147.0,Unhealthy for Sensitive Groups
2025-09-15,Agra,176.0,186.3,165.4,206.7,211.3,Very Unhealthy
2025-09-16,Agra,158.5,172.1,158.2,178.8,186.5,Unhealthy
2025-09-17,Agra,145.7,171.2,151.3,159.7,177.0,Unhealthy
2025-09-18,Agra,154.3,152.4,160.8,168.4,176.8,Unhealthy
2025-09-19,Agra,178.0,188.2,164.0,198.7,198.7,Unhealthy
2025-09-20,Agra,127.8,146.8,118.5,137.4,133.5,Unhealthy for Sensitive Groups
2025-09-21,Agra,129.4,138.6,144.8,158.9,155.6,Unhealthy
2025-09-22,Agra,145.9,164.9,146.1,169.4,185.0,Unhealthy
2025-09-23,Agra,169.7,173.8,176.8,175.5,181.9,Unhealthy
2025-09-24,Agra,167.4,201.8,173.0,209.0,190.2,Unhealthy
2025-09-25,Agra,161.9,184.3,171.1,175.6,192.6,Unhealthy
2025-09-26,Agra,172.5,174.9,153.2,184.6,192.5,Unhealthy
2025-09-27,Agra,134.3,140.5,110.2,134.5,134.6,Unhealthy for Sensitive Groups
2025-09-28,Agra,143.8,133.9,141.8,144.2,143.9,Unhealthy for Sensitive Groups
2025-09-29,Agra,147.2,155.9,135.6,170.3,165.8,Unhealthy
2025-09-30,Agra,165.6,156.7,150.1,179.1,190.4,Unhealthy
2025-10-01,Agra,171.3,171.9,160.6,184.8,186.9,Unhealthy
2025-10-02,Agra,151.1,155.6,149.3,161.4,173.8,Unhealthy
2025-10-03,Agra,169.6,185.2,157.6,200.1,204.9,Very Unhealthy
2025-10-04,Agra,109.3,152.7,114.9,139.1,134.4,Unhealthy for Sensitive Groups
2025-10-05,Agra,135.2,131.0,140.3,140.3,150.4,Unhealthy
2025-10-06,Agra,169.1,191.8,171.3,186.7,189.2,Unhealthy
2025-10-07,Agra,177.6,193.0,180.5,197.8,192.2,Unhealthy
2025-10-08,Agra,153.9,168.5,162.2,171.6,184.8,Unhealthy
2025-10-09,Agra,181.5,176.0,172.8,195.4,184.3,Unhealthy
2025-10-10,Agra,178.5,185.2,177.3,186.2,198.3,Unhealthy
2025-10-11,Agra,105.9,109.8,99.9,136.4,122.2,Unhealthy for Sensitive Groups
2025-10-12,Agra,111.7,125.9,110.3,129.1,141.8,Unhealthy for Sensitive Groups
2025-10-13,Agra,163.4,170.2,179.8,191.2,189.3,Unhealthy
2025-10-14,Agra,160.3,170.3,150.6,165.7,198.8,Unhealthy
2025-10-15,Agra,150.7,181.6,163.4,183.3,194.3,Unhealthy
2025-10-16,Agra,176.1,188.3,171.3,198.0,202.5,Very Unhealthy
2025-10-17,Agra,148.1,153.9,142.6,170.2,188.6,Unhealthy
2025-10-18,Agra,132.5,132.2,113.4,119.1,137.0,Unhealthy for Sensitive Groups
2025-10-19,Agra,129.4,136.8,117.1,137.2,151.5,Unhealthy
2025-10-20,Agra,175.6,171.5,156.3,180.3,192.3,Unhealthy
2025-10-21,Agra,167.4,173.6,161.8,175.3,184.0,Unhealthy
2025-10-22,Agra,175.2,171.3,159.8,187.3,196.3,Unhealthy
2025-10-23,Agra,150.6,159.9,160.1,163.9,179.8,Unhealthy
2025-10-24,Agra,183.6,164.5,166.0,175.8,187.4,Unhealthy
2025-10-25,Agra,119.2,120.9,111.4,133.7,150.7,Unhealthy
2025-10-26,Agra,130.1,111.2,118.0,129.7,139.4,Unhealthy for Sensitive Groups
2025-10-27,Agra,154.2,179.5,151.3,178.5,196.0,Unhealthy
2025-10-28,Agra,147.6,156.6,146.9,167.8,171.0,Unhealthy
2025-10-29,Agra,173.1,181.8,156.6,190.7,204.0,Very Unhealthy
2025-10-30,Agra,155.5,161.4,164.3,194.2,184.9,Unhealthy
2025-10-31,Agra,161.5,159.2,144.9,166.1,161.7,Unhealthy
2025-11-01,Agra,135.4,148.7,149.4,152.1,173.1,Unhealthy
2025-11-02,Agra,151.2,158.3,153.2,184.0,183.7,Unhealthy
2025-11-03,Agra,191.0,206.4,186.9,216.6,228.2,Very Unhealthy
2025-11-04,Agra,208.2,206.2,188.3,206.9,236.6,Very Unhealthy
2025-11-05,Agra,207.7,190.8,192.0,208.7,220.5,Very Unhealthy
2025-11-06,Agra,209.5,218.7,202.6,235.2,236.2,Very Unhealthy
2025-11-07,Agra,214.3,223.4,200.3,226.6,229.4,Very Unhealthy
2025-11-08,Agra,154.5,163.8,152.4,179.6,183.0,Unhealthy
2025-11-09,Agra,158.4,143.6,131.3,156.6,138.3,Unhealthy for Sensitive Groups
2025-11-10,Agra,182.3,184.7,175.2,198.2,211.7,Very Unhealthy
2025-11-11,Agra,200.6,217.8,186.9,235.0,246.2,Very Unhealthy
2025-11-12,Agra,178.7,204.0,187.9,199.0,222.9,Very Unhealthy
2025-11-13,Agra,174.2,182.6,170.5,188.3,205.8,Very Unhealthy
2025-11-14,Agra,173.9,187.2,173.3,197.7,213.5,Very Unhealthy
2025-11-15,Agra,149.1,169.0,133.6,156.4,164.6,Unhealthy
2025-11-16,Agra,149.3,138.8,124.8,158.8,168.2,Unhealthy
2025-11-17,Agra,206.0,213.4,197.4,224.2,242.3,Very Unhealthy
2025-11-18,Agra,175.6,177.6,177.5,197.3,211.7,Very Unhealthy
2025-11-19,Agra,165.9,203.8,166.5,195.9,215.5,Very Unhealthy
2025-11-20,Agra,188.4,192.2,177.4,223.7,220.2,Very Unhealthy
2025-11-21,Agra,219.5,211.1,193.3,226.2,239.7,Very Unhealthy
2025-11-22,Agra,162.2,167.5,153.0,179.5,190.2,Unhealthy
2025-11-23,Agra,129.3,144.3,134.7,164.1,155.4,Unhealthy
2025-11-24,Agra,180.1,184.0,175.5,184.3,196.3,Unhealthy
2025-11-25,Agra,194.9,206.6,181.0,202.9,218.7,Very Unhealthy
2025-11-26,Agra,200.8,222.2,194.5,212.6,247.5,Very Unhealthy
2025-11-27,Agra,186.3,184.6,183.4,210.2,204.9,Very Unhealthy
2025-11-28,Agra,214.3,217.9,214.4,233.2,246.2,Very Unhealthy
2025-11-29,Agra,159.3,164.6,143.1,170.1,179.9,Unhealthy
2025-11-30,Agra,141.3,140.7,124.5,172.0,153.5,Unhealthy
2025-12-01,Agra,209.5,219.3,208.3,230.4,231.4,Very Unhealthy
2025-12-02,Agra,214.8,215.4,204.0,224.3,250.7,Very Unhealthy
2025-12-03,Agra,215.7,223.4,195.5,231.4,241.0,Very Unhealthy
2025-12-04,Agra,213.1,224.7,201.9,227.2,247.5,Very Unhealthy
2025-12-05,Agra,199.6,209.6,206.7,221.7,207.2,Very Unhealthy
2025-12-06,Agra,153.8,165.3,151.4,177.0,180.2,Unhealthy
2025-12-07,Agra,139.1,146.6,142.8,145.8,171.5,Unhealthy
2025-12-08,Agra,181.0,204.6,181.5,190.6,213.6,Very Unhealthy
2025-12-09,Agra,192.1,209.1,174.0,197.8,212.7,Very Unhealthy
2025-12-10,Agra,204.4,232.5,201.4,230.7,247.7,Very Unhealthy
2025-12-11,Agra,203.9,193.6,194.2,203.6,219.7,Very Unhealthy
2025-12-12,Agra,188.8,198.6,190.5,224.4,239.1,Very Unhealthy
2025-12-13,Agra,165.2,166.8,144.1,173.1,174.3,Unhealthy
2025-12-14,Agra,148.2,142.8,131.1,156.2,165.8,Unhealthy
2025-12-15,Agra,186.4,221.7,197.8,218.0,228.7,Very Unhealthy
2025-12-16,Agra,183.8,204.1,183.9,192.7,226.2,Very Unhealthy
2025-12-17,Agra,198.4,211.3,203.4,216.2,239.2,Very Unhealthy
2025-12-18,Agra,184.8,203.6,185.2,217.7,212.0,Very Unhealthy
2025-12-19,Agra,195.5,194.1,179.6,207.5,212.4,Very Unhealthy
2025-12-20,Agra,161.0,156.7,159.0,177.3,167.9,Unhealthy
2025-12-21,Agra,161.9,157.3,157.4,168.6,184.5,Unhealthy
2025-12-22,Agra,179.7,185.4,172.1,187.4,196.8,Unhealthy
2025-12-23,Agra,205.4,213.2,203.2,242.8,236.7,Very Unhealthy
2025-12-24,Agra,178.5,167.2,179.7,200.1,201.1,Very Unhealthy
2025-12-25,Agra,178.8,185.0,176.8,193.3,200.7,Very Unhealthy
2025-12-26,Agra,181.8,200.1,171.8,205.0,200.8,Very Unhealthy
2025-12-27,Agra,150.7,159.0,139.9,160.7,167.5,Unhealthy
2025-12-28,Agra,139.7,151.2,147.7,148.1,164.3,Unhealthy
2025-12-29,Agra,207.6,219.6,206.4,242.8,238.4,Very Unhealthy
2025-12-30,Agra,189.0,206.5,195.9,193.1,213.8,Very Unhealthy
2025-12-31,Agra,196.3,210.5,205.7,219.7,224.3,Very Unhealthy
2026-01-01,Agra,206.5,210.5,195.1,221.1,227.7,Very Unhealthy
2026-01-02,Agra,195.0,215.0,197.1,227.9,237.1,Very Unhealthy
2026-01-03,Agra,159.2,172.8,154.2,171.9,208.7,Very Unhealthy
2026-01-04,Agra,147.0,148.9,144.6,146.9,143.3,Unhealthy for Sensitive Groups
2026-01-05,Agra,208.7,230.2,208.8,221.7,246.9,Very Unhealthy
2026-01-06,Agra,202.9,221.6,212.8,235.8,248.6,Very Unhealthy
2026-01-07,Agra,208.4,217.7,202.5,222.4,244.7,Very Unhealthy
2026-01-08,Agra,187.9,202.9,189.1,212.2,224.7,Very Unhealthy
2026-01-09,Agra,192.5,192.2,189.9,207.8,227.7,Very Unhealthy
2026-01-10,Agra,141.3,144.8,149.8,155.2,153.9,Unhealthy
2026-01-11,Agra,166.5,170.0,166.8,168.1,194.3,Unhealthy
2026-01-12,Agra,193.4,212.7,188.2,193.5,217.5,Very Unhealthy
2026-01-13,Agra,190.3,197.0,181.5,197.0,205.3,Very Unhealthy
2026-01-14,Agra,176.8,173.5,181.8,207.7,194.2,Unhealthy
2026-01-15,Agra,218.3,220.8,202.7,220.1,241.0,Very Unhealthy
2026-01-16,Agra,211.5,202.3,193.7,224.6,226.6,Very Unhealthy
2026-01-17,Agra,161.3,162.9,164.9,161.1,171.5,Unhealthy
2026-01-18,Agra,144.7,132.6,138.3,154.5,146.0,Unhealthy for Sensitive Groups
2026-01-19,Agra,217.8,225.6,219.1,229.1,232.9,Very Unhealthy
2026-01-20,Agra,195.2,210.7,190.3,210.6,219.6,Very Unhealthy
2026-01-21,Agra,170.8,187.7,173.9,199.1,198.9,Unhealthy
2026-01-22,Agra,189.0,197.7,188.4,199.7,219.3,Very Unhealthy
2026-01-23,Agra,177.7,190.8,188.5,194.5,202.8,Very Unhealthy
2026-01-24,Agra,122.5,139.8,120.9,154.7,164.4,Unhealthy
2026-01-25,Agra,131.2,150.6,145.8,148.8,155.3,Unhealthy
2026-01-26,Agra,207.9,212.2,195.9,225.7,239.1,Very Unhealthy
2026-01-27,Agra,189.3,195.6,178.9,198.0,214.3,Very Unhealthy
2026-01-28,Agra,183.0,199.2,201.2,210.7,231.3,Very Unhealthy
2026-01-29,Agra,195.2,213.9,197.3,223.6,226.7,Very Unhealthy
2026-01-30,Agra,178.3,193.3,178.1,182.3,214.9,Very Unhealthy
2026-01-31,Agra,155.3,161.0,161.9,162.7,177.4,Unhealthy
2026-02-01,Agra,140.5,132.7,138.0,139.7,167.7,Unhealthy
2026-02-02,Agra,177.9,195.5,171.1,201.0,206.9,Very Unhealthy
2026-02-03,Agra,211.1,237.2,204.2,224.2,229.9,Very Unhealthy
2026-02-04,Agra,198.9,206.1,188.7,226.5,228.4,Very Unhealthy
2026-02-05,Agra,192.5,198.5,179.8,197.6,229.7,Very Unhealthy
2026-02-06,Agra,202.7,200.3,204.5,218.0,233.8,Very Unhealthy
2026-02-07,Agra,145.0,145.1,134.6,159.2,156.9,Unhealthy
2026-02-08,Agra,130.9,151.7,135.8,159.1,168.5,Unhealthy
2026-02-09,Agra,183.1,185.4,182.8,204.3,214.2,Very Unhealthy
2026-02-10,Agra,163.7,189.3,173.0,199.7,203.6,Very Unhealthy
2026-02-11,Agra,204.9,207.2,186.2,217.2,255.6,Very Unhealthy
2026-02-12,Agra,174.3,186.4,165.2,203.6,195.3,Unhealthy
2026-02-13,Agra,205.2,216.5,209.0,213.3,221.8,Very Unhealthy
2026-02-14,Agra,151.9,177.3,153.5,176.3,184.5,Unhealthy
2026-02-15,Agra,150.3,165.2,145.8,187.6,200.1,Very Unhealthy
2026-02-16,Agra,208.9,203.0,194.1,211.9,229.6,Very Unhealthy
2026-02-17,Agra,203.8,216.3,205.1,228.1,228.5,Very Unhealthy
2026-02-18,Agra,187.9,173.3,167.9,202.4,217.5,Very Unhealthy
2026-02-19,Agra,204.4,194.7,184.5,197.8,217.0,Very Unhealthy
2026-02-20,Agra,210.3,219.3,206.8,231.9,240.6,Very Unhealthy
2026-02-21,Agra,127.6,144.0,136.1,155.1,162.6,Unhealthy
2026-02-22,Agra,167.8,166.9,159.6,162.5,174.1,Unhealthy
2026-02-23,Agra,198.7,196.3,202.8,216.6,223.0,Very Unhealthy
2026-02-24,Agra,197.1,189.6,178.0,203.1,210.2,Very Unhealthy
2026-02-25,Agra,187.2,198.2,188.1,188.3,211.3,Very Unhealthy
2026-02-26,Agra,192.4,189.4,192.7,227.1,245.2,Very Unhealthy
2026-02-27,Agra,197.1,198.8,194.3,213.4,215.5,Very Unhealthy
2026-02-28,Agra,167.1,174.0,163.8,188.5,189.1,Unhealthy
2026-03-01,Agra,114.0,123.7,108.5,134.0,131.9,Unhealthy for Sensitive Groups
2026-03-02,Agra,170.1,194.8,173.1,180.1,214.4,Very Unhealthy
2026-03-03,Agra,160.8,156.9,153.2,150.2,200.8,Very Unhealthy
2026-03-04,Agra,173.0,181.8,171.9,194.5,204.9,Very Unhealthy
2026-03-05,Agra,174.1,170.7,159.6,188.1,208.3,Very Unhealthy
