city_name,country,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,dominant_pollutant,aqi_category
Karachi,Pakistan,206.9,279.5,194,274.7,278.6,Ozone,Very Unhealthy
Zurich,Switzerland,41.2,48.2,33.7,86.4,95.7,PM2.5,Moderate
Wellington,New Zealand,204.8,206.8,228.5,289.9,227.1,PM2.5,Very Unhealthy
Melbourne,Australia,120.4,176.3,162.8,160.4,152,Ozone,Unhealthy
Ho Chi Minh City,Vietnam,117.1,153.7,131.4,130.7,184.2,Ozone,Unhealthy
Cape Town,South Africa,87.2,139.1,119.3,128.9,134.2,Ozone,Unhealthy for Sensitive Groups
Brussels,Belgium,115.1,159.6,132.3,185.1,170.5,PM2.5,Unhealthy
Brussels,Belgium,130.9,183.3,123.4,170.4,175.9,Ozone,Unhealthy
Istanbul,Turkey,76.6,106.9,93.2,106.8,110.4,Ozone,Unhealthy for Sensitive Groups
Brussels,Belgium,205,246.1,269.8,249.8,264.8,NO2,Very Unhealthy
Johannesburg,South Africa,259.2,193.4,188.2,283.2,237.2,PM2.5,Very Unhealthy
Hong Kong,China,83.9,104.6,76.8,127.6,106.9,PM2.5,Unhealthy for Sensitive Groups
Santiago,Chile,279.9,266.3,164.1,267.9,255.2,CO,Very Unhealthy
Berlin,Germany,488.5,264.4,482.7,373.9,499.7,CO,Hazardous
Bucharest,Romania,119.9,76.2,83.9,89,127.2,CO,Unhealthy for Sensitive Groups
Santiago,Chile,286.1,460.6,455.4,289.5,325.8,Ozone,Hazardous
Bishkek,Kyrgyzstan,27.4,55.5,62.4,33,95.5,NO2,Moderate
Honolulu,USA,256.1,321.9,364.2,404.9,440.2,PM2.5,Hazardous
Linfen,China,85.4,115.1,72.4,86,120.9,Ozone,Unhealthy for Sensitive Groups
Bucharest,Romania,127.3,150.6,110.2,180,185.3,PM2.5,Unhealthy
Toronto,Canada,75.2,76.3,117.3,117.9,115.1,PM2.5,Unhealthy for Sensitive Groups
Bucharest,Romania,38.7,49.6,58.8,72.5,71.2,PM2.5,Moderate
Melbourne,Australia,26.8,62.3,42.6,68.3,96.9,PM2.5,Moderate
Oslo,Norway,139.3,153.7,166.9,191.7,158,PM2.5,Unhealthy
Berlin,Germany,128.8,70.2,113.9,94.8,137.3,CO,Unhealthy for Sensitive Groups
Rome,Italy,21,39.1,34,83.8,66.2,PM2.5,Moderate
Cairo,Egypt,19.3,31.8,0.9,12.9,27.6,Ozone,Good
Santiago,Chile,377.3,482.2,331.3,474.9,495.3,Ozone,Hazardous
Madrid,Spain,4.8,7.4,2.7,26.8,40.1,PM2.5,Good
Perth,Australia,156.7,174.8,154.7,175.8,199.8,PM2.5,Unhealthy
Seattle,USA,26.5,4.2,28.7,3.1,35.9,NO2,Good
Riyadh,Saudi Arabia,65,73.3,27.7,37.1,71.6,Ozone,Moderate
Istanbul,Turkey,366.6,374.5,403.4,306.7,310.4,NO2,Hazardous
Seattle,USA,74.8,75.9,46.4,52.3,89.4,Ozone,Moderate
Oslo,Norway,111.3,130.7,134.4,174.7,195.7,PM2.5,Unhealthy
Hong Kong,China,115.9,100,104.8,86.1,125,CO,Unhealthy for Sensitive Groups
São Paulo,Brazil,226.2,261.2,257.3,201.3,260.1,Ozone,Very Unhealthy
Wellington,New Zealand,233.2,239.7,192.1,254,263.6,PM2.5,Very Unhealthy
São Paulo,Brazil,146.3,141.7,125.2,161.5,189.7,PM2.5,Unhealthy
Shanghai,China,104.2,128.9,85.1,136.6,117.2,PM2.5,Unhealthy for Sensitive Groups
Paris,France,119.5,181,100.1,190.4,164.9,PM2.5,Unhealthy
Rawalpindi,Pakistan,70,104.7,80.7,93.1,129.8,Ozone,Unhealthy for Sensitive Groups
Jakarta,Indonesia,196.5,195.7,188,297,291.6,PM2.5,Very Unhealthy
Cairo,Egypt,24.9,31.2,6.4,32.4,29.6,PM2.5,Good
Chengdu,China,181.9,241.9,165.8,295.4,263.8,PM2.5,Very Unhealthy
Berlin,Germany,113.4,155.7,158,180.5,158.4,PM2.5,Unhealthy
Calgary,Canada,260.2,278.4,256.9,468.9,482.6,PM2.5,Hazardous
London,UK,24.5,9,14.1,24.6,1.8,PM2.5,Good
Bucharest,Romania,22.3,61,50,77.5,75.2,PM2.5,Moderate
Johannesburg,South Africa,185,194.6,242.6,199.3,226.2,NO2,Very Unhealthy
Dubai,UAE,107.8,91.2,99.4,125.9,117.4,PM2.5,Unhealthy for Sensitive Groups
Gwalior,India,108.6,113.1,106.6,113.7,116,PM2.5,Unhealthy for Sensitive Groups
Melbourne,Australia,124.4,151.4,148.6,196.9,160.5,PM2.5,Unhealthy
Osaka,Japan,8.4,28.3,4.3,12.1,27.1,Ozone,Good
Calgary,Canada,412.3,281.3,389.8,401.4,322.7,CO,Hazardous
Rome,Italy,154.3,181.2,124.3,189.7,178.8,PM2.5,Unhealthy
Taipei,Taiwan,37.2,34.2,45.9,69.3,52.9,PM2.5,Moderate
Chengdu,China,254.9,219.2,182.1,277.2,204.2,PM2.5,Very Unhealthy
Melbourne,Australia,122,187.2,140.8,145.1,193.7,Ozone,Unhealthy
Madrid,Spain,123.7,122.7,125.3,161.4,151.3,PM2.5,Unhealthy
London,UK,459.9,378.3,293.4,433.6,416,CO,Hazardous
Perth,Australia,259.2,288.5,241.8,232.3,263.6,Ozone,Very Unhealthy
Seoul,South Korea,26.8,17.7,25.6,34,11.3,PM2.5,Good
Dubai,UAE,57,62.1,35.3,32.1,78.7,Ozone,Moderate
Kuwait City,Kuwait,278.7,228.1,252.2,272.9,280.9,CO,Very Unhealthy
Faridabad,India,123.2,131.5,126.6,139.9,156.2,PM2.5,Unhealthy
Seattle,USA,65.2,110.1,94.9,98.5,131.1,Ozone,Unhealthy for Sensitive Groups
Cape Town,South Africa,14.8,2,6.6,4.1,32.4,CO,Good
Rome,Italy,377.3,497.4,433.5,281,376.3,Ozone,Hazardous
Chicago,USA,195.9,223.2,236.3,226.4,262.9,NO2,Very Unhealthy
Bucharest,Romania,178.7,224.3,245.1,243.2,234.5,NO2,Very Unhealthy
Stockholm,Sweden,107.8,127.8,71.6,127.5,145.6,Ozone,Unhealthy for Sensitive Groups
Stockholm,Sweden,182.2,221.4,221.4,269.8,256.2,PM2.5,Very Unhealthy
Athens,Greece,467.2,260.1,382.6,293.8,477.1,CO,Hazardous
Wuhan,China,2.8,18.5,11.4,28.1,23.9,PM2.5,Good
Wuhan,China,177.8,171.6,112.4,153.2,166.8,CO,Unhealthy
Vienna,Austria,275.5,270.4,260.7,284.7,274.6,PM2.5,Very Unhealthy
Kuala Lumpur,Malaysia,67.7,111.4,89,115.4,138.8,PM2.5,Unhealthy for Sensitive Groups
Cape Town,South Africa,114.7,100.2,89.2,110.8,123.1,CO,Unhealthy for Sensitive Groups
Kolkata,India,496.2,353.2,354,448.4,405.1,CO,Hazardous
Bishkek,Kyrgyzstan,32.8,84.7,66.9,63.1,79.4,Ozone,Moderate
Bangalore,India,154,130,112.2,191.6,191.3,PM2.5,Unhealthy
Mexico City,Mexico,66.1,136,75,80.1,119.7,Ozone,Unhealthy for Sensitive Groups
Tokyo,Japan,111.5,143.4,130,137.8,188.8,Ozone,Unhealthy
Budapest,Hungary,59.7,51.7,41.9,84.2,65.9,PM2.5,Moderate
Jakarta,Indonesia,135.9,142.8,160.7,167.8,173.1,PM2.5,Unhealthy
New York,USA,419,423.5,422.1,348,415.9,Ozone,Hazardous
Chicago,USA,253.1,260.2,195.7,293.6,293,PM2.5,Very Unhealthy
Colombo,Sri Lanka,0.3,19.7,14.4,0.6,32.5,Ozone,Good
Hanoi,Vietnam,48.7,63.9,73.5,41.8,56.1,NO2,Moderate
Calgary,Canada,12.3,11.2,22.2,23.1,7.8,PM2.5,Good
Taipei,Taiwan,45.1,35,40.5,58.8,60.5,PM2.5,Moderate
Bogota,Colombia,115.1,162.6,109.8,131.6,170.1,Ozone,Unhealthy
Brisbane,Australia,482.6,299.6,438.8,488.9,485.6,PM2.5,Hazardous
Yangon,Myanmar,396.2,458,298.4,400.1,368.8,Ozone,Hazardous
Hyderabad,India,28.8,14.8,22.9,22.5,6.3,CO,Good
New York,USA,254.2,174.8,253.1,267.2,262.7,PM2.5,Very Unhealthy
Reykjavik,Iceland,386,456.6,348,364.5,371.3,Ozone,Hazardous
Calgary,Canada,86.3,102.6,111.6,130.3,102.9,PM2.5,Unhealthy for Sensitive Groups
Rio de Janeiro,Brazil,67,118.9,83.9,99.5,137.1,Ozone,Unhealthy for Sensitive Groups
Toronto,Canada,2.2,4.6,11.8,25.4,17.6,PM2.5,Good
Peshawar,Pakistan,433.9,448.1,499,369,349.8,NO2,Hazardous
Rawalpindi,Pakistan,410.9,385.7,483.8,444.7,383.9,NO2,Hazardous
Bucharest,Romania,165,123.9,134.9,192.9,155.2,PM2.5,Unhealthy
Seattle,USA,212.7,221.1,178.5,217.2,265.8,Ozone,Very Unhealthy
Zabol,Iran,250,285.9,209.6,267.7,257.3,Ozone,Very Unhealthy
Hyderabad,India,156.4,123.4,120.2,191.6,193.9,PM2.5,Unhealthy
Los Angeles,USA,22.8,36.8,5.4,14,13.4,Ozone,Good
Riyadh,Saudi Arabia,73.2,101.5,111.1,84,123.1,NO2,Unhealthy for Sensitive Groups
Dublin,Ireland,74.6,97.2,101.3,112.7,125.7,PM2.5,Unhealthy for Sensitive Groups
Peshawar,Pakistan,99.9,139.7,108.1,96.1,105.7,Ozone,Unhealthy for Sensitive Groups
Cairo,Egypt,51.6,56.3,25.8,31.5,88.5,Ozone,Moderate
Madrid,Spain,451.7,358.4,380,321.8,422.1,CO,Hazardous
Colombo,Sri Lanka,35.5,89.5,35.6,78.7,93.8,Ozone,Moderate
Ho Chi Minh City,Vietnam,1,0.5,5.7,17.5,31.8,PM2.5,Good
Hyderabad,India,339.9,406.7,483.6,324.3,487.5,NO2,Hazardous
Tehran,Iran,19.7,17.4,27.4,3.4,11.6,NO2,Good
Chengdu,China,115.7,139.2,78.8,128.9,126.6,Ozone,Unhealthy for Sensitive Groups
Shanghai,China,217.2,242.4,193.5,240.9,240.5,Ozone,Very Unhealthy
Rome,Italy,91.5,76.6,91.4,81.1,102.7,CO,Unhealthy for Sensitive Groups
Johannesburg,South Africa,28,24.6,6.5,5.2,43.3,CO,Good
Chennai,India,78.5,126.5,104.7,82.2,141.2,Ozone,Unhealthy for Sensitive Groups
Tashkent,Uzbekistan,62.1,59.6,53.2,83,98.3,PM2.5,Moderate
Mumbai,India,22.9,38.9,37.1,78.1,85,PM2.5,Moderate
Allahabad,India,21.5,75.6,40.2,74.2,59.9,Ozone,Moderate
Tashkent,Uzbekistan,250.7,488.7,420.9,378,356.6,Ozone,Hazardous
Santiago,Chile,108.1,120.5,94.1,105,116.6,Ozone,Unhealthy for Sensitive Groups
Santiago,Chile,250.1,199.4,229.2,196.1,202.3,CO,Very Unhealthy
Tehran,Iran,123.6,158.7,109.7,145.5,182.2,Ozone,Unhealthy
Peshawar,Pakistan,81.1,81.4,92.4,102.4,109.6,PM2.5,Unhealthy for Sensitive Groups
Berlin,Germany,357.3,302,376.9,468.2,396.3,PM2.5,Hazardous
Budapest,Hungary,53.7,39.3,25.2,41.5,92.2,CO,Moderate
Hanoi,Vietnam,74.6,43.1,73.7,80.2,65.8,PM2.5,Moderate
Sydney,Australia,71.1,106.7,116.2,90,103.5,NO2,Unhealthy for Sensitive Groups
Bogota,Colombia,136,160.9,152.5,194.8,192.4,PM2.5,Unhealthy
Brussels,Belgium,76.5,57.8,41.6,45.9,87.3,CO,Moderate
Bishkek,Kyrgyzstan,134.9,183.1,102.4,197.2,189.9,PM2.5,Unhealthy
Beijing,China,83.6,116.3,110.3,119.9,113.9,PM2.5,Unhealthy for Sensitive Groups
Tokyo,Japan,145.8,165.4,162.5,182.8,176,PM2.5,Unhealthy
Hyderabad,India,21.6,66.5,51.2,44.2,51,Ozone,Moderate
Lima,Peru,41.2,69.6,61.1,41.3,69.3,Ozone,Moderate
Nairobi,Kenya,193.2,241.6,257.8,217.4,297.3,NO2,Very Unhealthy
Jakarta,Indonesia,67.4,60.4,51.4,77.5,81.3,PM2.5,Moderate
Los Angeles,USA,102.2,111.2,94.4,89.7,145.9,Ozone,Unhealthy for Sensitive Groups
Manila,Philippines,118.4,80.9,93.2,134.7,147.4,PM2.5,Unhealthy for Sensitive Groups
Helsinki,Finland,163.9,141.8,103.6,164.4,159.4,PM2.5,Unhealthy
Sydney,Australia,22.7,14.5,12.6,26.5,37.3,PM2.5,Good
Rawalpindi,Pakistan,341,317.5,460,442.8,301.7,NO2,Hazardous
Berlin,Germany,220.5,253.7,239.8,232.9,214.8,Ozone,Very Unhealthy
Cairo,Egypt,440.2,314.3,454.6,305.4,367.1,NO2,Hazardous
Dublin,Ireland,153,170.4,106.8,148.8,170,Ozone,Unhealthy
Linfen,China,122.6,130.3,150.1,166.4,196.8,PM2.5,Unhealthy
Warsaw,Poland,110.2,164.1,150.6,176.2,166.7,PM2.5,Unhealthy
Linfen,China,391,492.3,290.3,304.4,381.6,Ozone,Hazardous
Mumbai,India,172.5,174.9,111.4,196.5,167.6,PM2.5,Unhealthy
Vancouver,Canada,79.3,60.8,72.3,75.9,82.4,CO,Moderate
Tianjin,China,162.4,175.9,137.2,194.8,187.7,PM2.5,Unhealthy
Chennai,India,25.7,73.4,63.1,85.3,70,PM2.5,Moderate
Casablanca,Morocco,157.5,186.1,142,183.1,186.7,Ozone,Unhealthy
Copenhagen,Denmark,101.7,122.4,74.9,98.8,148.3,Ozone,Unhealthy for Sensitive Groups
Madrid,Spain,188.5,250.9,274.3,279.3,262.8,PM2.5,Very Unhealthy
Vienna,Austria,76.3,48.8,47.3,33.5,97.9,CO,Moderate
Honolulu,USA,129.7,143.5,145.9,155.9,158.9,PM2.5,Unhealthy
Kathmandu,Nepal,122.2,133.6,100.8,137,138.4,PM2.5,Unhealthy for Sensitive Groups
Madrid,Spain,9.7,4.9,11.7,13.7,30.8,PM2.5,Good
New York,USA,61.7,73.4,89.2,109.6,124.4,PM2.5,Unhealthy for Sensitive Groups
Athens,Greece,353.2,482,275.3,471,318.3,Ozone,Hazardous
Prague,Czech Republic,122.7,135.3,99.5,84.5,139.9,Ozone,Unhealthy for Sensitive Groups
Raipur,India,159.2,162.9,172.2,149.5,166.3,NO2,Unhealthy
Agra,India,291,383.7,250.7,430.6,420.3,PM2.5,Hazardous
Colombo,Sri Lanka,112.8,150.3,143.2,165.5,166.5,PM2.5,Unhealthy
Casablanca,Morocco,278.1,466,481.2,452,342.4,NO2,Hazardous
Bogota,Colombia,167.6,179.4,278.1,259.4,291.5,NO2,Very Unhealthy
Berlin,Germany,162,147.5,122,151.8,152.4,CO,Unhealthy
Baghdad,Iraq,13.3,9.7,23.6,31.6,21.1,PM2.5,Good
Helsinki,Finland,170.3,170.5,149.8,187.9,165,PM2.5,Unhealthy
Portland,USA,61.6,136,104.4,132.4,148.3,Ozone,Unhealthy for Sensitive Groups
Kabul,Afghanistan,101.5,101.7,118.1,119.7,113,PM2.5,Unhealthy for Sensitive Groups
Istanbul,Turkey,34,71.2,65.9,89.2,56.9,PM2.5,Moderate
Warsaw,Poland,164.2,146.4,147.5,186,195.9,PM2.5,Unhealthy
Vienna,Austria,241.3,266.9,255.7,232.4,259,Ozone,Very Unhealthy
Agra,India,59.7,43.1,69.5,75.8,67.7,PM2.5,Moderate
Shanghai,China,41.8,40.8,41.3,42.1,80,PM2.5,Moderate
Seoul,South Korea,203.5,252.7,239.2,272.5,246.6,PM2.5,Very Unhealthy
Lima,Peru,228.1,281.9,218.7,255.2,240.2,Ozone,Very Unhealthy
Mumbai,India,60.9,83.5,48,85.2,58.4,PM2.5,Moderate
Perth,Australia,75,134.4,113.6,104.7,112.2,Ozone,Unhealthy for Sensitive Groups
Dublin,Ireland,450.3,359.3,413.8,446.1,453.3,CO,Hazardous
Brussels,Belgium,161.1,215.5,262.7,231.7,256.7,NO2,Very Unhealthy
London,UK,492.7,285.7,450.9,293.2,333.5,CO,Hazardous
São Paulo,Brazil,72.8,113.8,73.6,95.8,113.3,Ozone,Unhealthy for Sensitive Groups
Mumbai,India,178.9,215,214.4,264.7,261.7,PM2.5,Very Unhealthy
Peshawar,Pakistan,132.2,186.6,124.7,172.7,199.2,Ozone,Unhealthy
Copenhagen,Denmark,427.6,382.6,424.7,288.3,321.2,CO,Hazardous
Bangkok,Thailand,350.8,431.3,483.3,362.8,443.4,NO2,Hazardous
Helsinki,Finland,209.6,253.4,192.5,249.1,209.5,Ozone,Very Unhealthy
Nairobi,Kenya,165.5,234.5,187.8,291,227.5,PM2.5,Very Unhealthy
Reykjavik,Iceland,392.5,427,393.3,495.8,346.8,PM2.5,Hazardous
Zurich,Switzerland,61.2,98.3,93.7,116,110.7,PM2.5,Unhealthy for Sensitive Groups
Faridabad,India,270.8,411.8,486.7,323.2,387,NO2,Hazardous
Hanoi,Vietnam,55.2,75.6,37.7,79.1,68.7,PM2.5,Moderate
Santiago,Chile,70.3,90,30.4,59.5,76.6,Ozone,Moderate
Cape Town,South Africa,42.5,52.2,55.9,48,87.2,NO2,Moderate
Buenos Aires,Argentina,166.4,180.7,143.8,152.2,186.8,Ozone,Unhealthy
Helsinki,Finland,70.3,44.2,63,50.3,59.8,CO,Moderate
Peshawar,Pakistan,112.4,70.8,88,117.6,132.5,PM2.5,Unhealthy for Sensitive Groups
Rome,Italy,244.2,207.8,201.9,227.3,212.9,CO,Very Unhealthy
Chennai,India,439.5,334,333.9,402.6,488.6,CO,Hazardous
Colombo,Sri Lanka,167.4,243.6,192.6,249.8,221.5,PM2.5,Very Unhealthy
Guangzhou,China,47,43,37.5,60.2,81.2,PM2.5,Moderate
Rome,Italy,218.1,277.2,228.5,298.3,250.6,PM2.5,Very Unhealthy
Cape Town,South Africa,171.9,286.5,189.4,252.4,255.9,Ozone,Very Unhealthy
Patna,India,222.1,214.7,171,271.3,289.8,PM2.5,Very Unhealthy
Wellington,New Zealand,172.2,269.7,250.3,201.6,260.4,Ozone,Very Unhealthy
Tokyo,Japan,44,47.5,46.7,53.7,71.2,PM2.5,Moderate
Rome,Italy,113,105.5,82.5,124.1,127.8,PM2.5,Unhealthy for Sensitive Groups
Calgary,Canada,9.2,30,23.4,27.4,30.7,Ozone,Good
London,UK,128.8,149.3,147.5,175.7,183.6,PM2.5,Unhealthy
Zurich,Switzerland,186,178.3,239.6,254.6,263.3,PM2.5,Very Unhealthy
Kuala Lumpur,Malaysia,173,263.9,168.7,251.1,204.7,Ozone,Very Unhealthy
Kolkata,India,267.2,337.8,430.9,319.4,373.8,NO2,Hazardous
Nairobi,Kenya,55,44.6,47.8,53.7,68.6,CO,Moderate
Agra,India,14,15.2,27.5,29.6,43.4,PM2.5,Good
Gwalior,India,75.2,84.9,62.3,119.6,128.2,PM2.5,Unhealthy for Sensitive Groups
Rio de Janeiro,Brazil,477.3,472.8,438.8,459.6,449.8,CO,Hazardous
Linfen,China,82.9,111.5,107.5,93.7,148.4,Ozone,Unhealthy for Sensitive Groups
Kabul,Afghanistan,193.6,180.9,275,299.5,254.5,PM2.5,Very Unhealthy
Perth,Australia,499.6,384.8,394.1,399.9,403.4,CO,Hazardous
Taipei,Taiwan,380.3,264.7,319.4,368.1,478,CO,Hazardous
Ho Chi Minh City,Vietnam,168.2,255.4,200,257.8,232.7,PM2.5,Very Unhealthy
Vienna,Austria,66.7,71.7,70,118.3,144.7,PM2.5,Unhealthy for Sensitive Groups
Lahore,Pakistan,385.9,373.9,334.8,371.6,448.4,CO,Hazardous
Melbourne,Australia,20.9,47.8,59.1,59.1,84.8,NO2,Moderate
Rio de Janeiro,Brazil,234.1,184.1,230,196.3,241.3,CO,Very Unhealthy
Taipei,Taiwan,101.1,108.5,90,133.2,108.5,PM2.5,Unhealthy for Sensitive Groups
Beijing,China,8.1,15.1,8.1,24.7,32.8,PM2.5,Good
Agra,India,3.9,18.7,17.6,1.4,33.7,Ozone,Good
Cairo,Egypt,2.6,23.8,11.7,11.6,37.7,Ozone,Good
Hanoi,Vietnam,428,344,256.3,432.3,366.6,PM2.5,Hazardous
Baghdad,Iraq,12.5,15.6,9.1,11.9,34.4,Ozone,Good
Berlin,Germany,311.2,302.4,251.6,382,407.6,PM2.5,Hazardous
Karachi,Pakistan,263.3,227.1,247.5,281.5,235.7,PM2.5,Very Unhealthy
Vienna,Austria,224.8,274.8,253.5,197,275.9,Ozone,Very Unhealthy
Toronto,Canada,40.2,86.5,66.4,32.7,90.1,Ozone,Moderate
Vancouver,Canada,62.5,137.9,111.1,111.2,135.8,Ozone,Unhealthy for Sensitive Groups
Yangon,Myanmar,222.5,215.1,194,282.1,228.2,PM2.5,Very Unhealthy
Hong Kong,China,175.3,273.2,255.4,250.8,238.4,Ozone,Very Unhealthy
Mumbai,India,454.7,468.7,374.5,461.4,454.4,Ozone,Hazardous
Lahore,Pakistan,209.1,252.6,234.8,245.6,268.2,Ozone,Very Unhealthy
Perth,Australia,232.9,173.4,175.9,248.9,265.6,PM2.5,Very Unhealthy
Ulaanbaatar,Mongolia,124.5,169.1,154.4,196.5,154.1,PM2.5,Unhealthy
Zurich,Switzerland,21.3,82.2,33.4,64.5,54.4,Ozone,Moderate
Vienna,Austria,191.2,270.6,226.7,211,247.8,Ozone,Very Unhealthy
Shanghai,China,110.2,158.6,167.2,133,195,NO2,Unhealthy
Tashkent,Uzbekistan,166,182.2,150,153.3,199.4,Ozone,Unhealthy
Zabol,Iran,56.3,41.5,68.1,87.5,79.5,PM2.5,Moderate
Bogota,Colombia,145.9,139.8,147.9,172.1,156.7,PM2.5,Unhealthy
London,UK,23.7,13.5,11.6,22.3,25.5,CO,Good
Santiago,Chile,143.5,133.1,143.9,144,180.3,PM2.5,Unhealthy
Chengdu,China,24.1,2.1,26.5,30.1,3.8,PM2.5,Good
Chennai,India,171.6,178.6,129.9,194.3,192.6,PM2.5,Unhealthy
Santiago,Chile,170,169,164.9,148.2,174.5,CO,Unhealthy
Agra,India,61.2,136.5,96.4,94.9,120.3,Ozone,Unhealthy for Sensitive Groups
Chengdu,China,126,91,64.3,135.9,142.4,PM2.5,Unhealthy for Sensitive Groups
Amsterdam,Netherlands,118.9,163.2,105.4,183.7,176.1,PM2.5,Unhealthy
Chengdu,China,56.1,48.2,65.5,84.2,64,PM2.5,Moderate
Seoul,South Korea,420.3,343.3,333.6,453.6,445.6,PM2.5,Hazardous
Ho Chi Minh City,Vietnam,153.7,132.2,172.1,179.2,163.5,PM2.5,Unhealthy
Istanbul,Turkey,206,210.9,231.4,288.1,267,PM2.5,Very Unhealthy
